3,0.00,-0.73,9.75,0
2,0.00,11.42,9.67,1
1,0.00,15.61,13.32,0
0,0.00,17.63,14.79,0
2,0.00,25.32,10.58,0
1,0.00,23.52,8.79,1
0,0.00,23.44,4.78,0
2,0.00,23.90,1.87,0
1,0.00,21.60,0.60,1
0,1.04,10.00,3.05,0
2,1.82,11.69,1.36,0
1,3.81,8.40,4.47,1
3,6.16,9.96,10.34,0
5,10.54,6.19,13.16,1
7,5.57,17.45,14.22,2
6,0.00,23.01,14.23,3
5,0.00,23.92,13.11,4
4,0.00,21.39,6.83,4
3,0.00,30.66,5.44,2
2,0.00,24.51,1.28,2
1,0.00,22.91,1.46,0
0,0.00,14.12,1.68,0
2,3.32,9.14,4.69,0
4,7.37,6.17,4.52,1
6,9.90,7.58,9.53,2
8,4.73,12.88,12.82,3
7,0.00,15.61,13.01,4
6,0.00,18.21,13.47,4
5,0.00,22.81,12.99,4
4,0.00,25.00,7.42,4
3,0.00,31.61,5.33,2
2,0.00,20.66,1.04,2
1,0.00,16.54,1.57,0
0,0.00,11.87,3.09,0
2,4.99,5.86,2.76,0
4,10.23,3.75,5.50,1
6,10.13,-0.62,9.25,2
8,7.62,9.76,11.78,3
7,0.20,13.52,12.64,4
6,0.00,19.58,12.60,4
5,0.00,25.57,10.34,4
4,0.00,27.49,10.23,4
3,0.00,25.64,6.89,2
2,0.00,23.76,4.18,2
1,0.00,18.29,0.00,0
0,0.49,10.58,2.38,0
2,0.93,13.12,2.39,0
1,4.17,6.97,4.23,1
3,9.97,7.22,8.23,0
5,14.66,6.53,11.27,1
7,9.71,16.99,12.99,2
9,2.86,15.52,12.94,3
8,0.00,20.44,12.35,4
7,0.00,29.11,9.39,5
6,0.00,29.11,3.82,5
5,0.00,26.29,3.28,5
4,0.00,21.05,1.00,3
3,0.00,11.47,1.28,3
2,1.89,7.09,3.82,1
1,5.07,0.60,7.29,0
3,8.87,0.09,8.83,0
5,14.69,4.68,11.38,1
7,11.36,11.36,13.63,2
9,4.49,15.72,13.81,3
8,0.00,24.14,12.03,4
7,0.00,30.95,10.15,5
6,0.00,30.23,3.81,5
5,0.00,28.90,1.24,5
4,0.00,16.29,1.23,3
3,0.00,14.52,0.99,3
2,2.54,5.96,3.59,1
4,3.85,8.81,3.83,0
